node_id,entity
0,201.2
1,577.8
2,759.3
3,345.9
4,521.0
5,359.9
6,984.9
7,493.0
8,299.0
9,173.9
10,501.0
11,442.9
12,756.4
13,702.0
14,556.0
15,188.0
16,151.6
17,251.8
18,282.3
19,287.5
20,392.99
21,272.7
22,174.8
23,722.9
24,729.9
25,282.61
26,530.19
27,370.9
28,751.2
29,305.2
30,759.5
31,333.91
32,84.3
33,733.44
34,42.99
35,276.8
36,593.7
37,157.2
38,238.4
39,340.0
40,535.11
41,278.0
42,183.0
43,251.2
44,282.8
45,359.3
46,453.9
47,646.9
48,706.2
49,733.22
50,331.0
51,42.0
52,747.0
53,211.3
54,277.0
55,151.5
56,274.89
57,288.1
58,271.0
59,359.2
60,238.0
61,291.4
62,253.2
63,300.2
64,379.9
65,755.55
66,581.9
67,282.7
68,657.0
69,296.8
70,271.3
71,759.81
72,304.2
73,346.9
74,443.9
75,201.0
76,592.0
77,593.9
78,268.0
79,695.1
80,786.09
81,277.5
82,747.6
83,759.89
84,378.9
85,401.9
86,443.82
87,151.9
88,763.89
89,78.19
90,781.0
91,345.8
92,743.1
93,427.41
94,427.81
95,274.9
96,389.0
97,754.51
98,606.1
99,334.3
100,414.99
101,279.2
102,733.3
103,648.8
104,332.0
105,426.1
106,787.91
107,571.8
108,278.1
109,782.4
110,703.0
111,403.9
112,784.61
113,176.9
114,353.5
115,571.5
116,755.64
117,259.2
118,151.4
119,185.0
120,150.4
121,204.0
122,352.6
123,386.0
124,395.0
125,255.8
126,434.91
127,716.9
128,218.0
129,714.32
130,426.82
131,606.9
132,202.8
133,753.9
134,266.2
135,270.4
136,150.8
137,259.4
138,205.0
139,588.89
140,335.0
141,749.0
142,287.31
143,30.9
144,747.49
145,441.9
146,695.89
147,425.4
148,759.6
149,755.8
150,209.0
151,157.8
152,191.9
153,746.9
154,250.0
155,270.7
156,729.1
157,255.1
158,330.1
159,27.0
160,157.0
161,560.1
162,161.0
163,141.1
164,428.9
165,425.3
166,753.16
167,246.8
168,371.6
169,386.5
170,252.0
171,60.0
172,335.2
173,189.0
174,348.8
175,362.5
176,518.89
177,289.6
178,492.8
179,264.8
180,301.4
181,153.0
182,722.73
183,780.57
184,495.9
185,363.5
186,555.9
187,410.9
188,747.81
189,200.0
190,283.11
191,331.9
192,345.1
193,723.5
194,530.13
195,84.0
196,147.9
197,305.6
198,348.3
199,702.8
200,282.44
201,88.81
202,377.1
203,358.0
204,437.5
205,585.6
206,756.58
207,714.0
208,333.81
209,759.82
210,200.2
211,272.8
212,150.3
213,135.0
214,330.9
215,756.52
216,296.9
217,743.53
218,211.5
219,258.01
220,253.4
221,180.9
222,491.0
223,477.9
224,758.9
225,341.9
226,275.1
227,151.0
228,307.1
229,290.4
230,757.5
231,327.42
232,401.0
233,755.0
234,759.7
235,576.2
236,728.9
237,55.9
238,414.9
239,279.12
240,271.4
241,526.89
242,348.9
243,157.1
244,371.55
245,425.9
246,267.0
247,273.4
248,207.8
249,490.0
250,289.83
251,277.3
252,141.5
253,429.2
254,141.0
255,330.8
256,79.82
257,162.9
258,365.9
259,520.1
260,756.5
261,426.6
262,743.0
263,282.0
264,193.0
265,277.1
266,599.7
267,733.6
268,301.81
269,307.23
270,623.8
271,190.3
272,207.0
273,361.1
274,742.4
275,753.8
276,756.0
277,66.9
278,70.7
279,370.6
280,742.2
281,204.9
282,31.9
283,296.2
284,720.0
285,745.1
286,346.1
287,289.7
288,778.0
289,733.49
290,742.9
291,218.9
292,710.3
293,115.0
294,710.0
295,349.9
296,795.2
297,277.6
298,424.0
299,285.9
300,155.0
301,188.9
302,756.3
303,571.4
304,373.0
305,732.3
306,194.3
307,724.9
308,530.1
309,288.3
310,274.0
311,360.0
312,199.0
313,155.2
314,301.83
315,194.0
316,569.89
317,425.1
318,617.9
319,333.0
320,362.0
321,782.1
322,362.75
323,611.8
324,733.9
325,233.1
326,157.3
327,756.1
328,255.4
329,238.76
330,540.0
331,694.0
332,239.3
333,294.8
334,347.0
335,518.0
336,272.6
337,606.0
338,359.1
339,755.9
340,728.79
341,503.0
342,335.1
343,743.44
344,213.9
345,208.9
346,289.9
347,1.9
348,256.1
349,259.51
350,150.9
351,587.0
352,695.13
353,742.1
354,354.0
355,464.2
356,127.0
357,286.4
358,202.0
359,571.2
360,350.0
361,782.8
362,496.0
363,625.8
364,733.0
365,579.0
366,756.59
367,333.1
368,171.9
369,362.74
370,438.99
371,719.9
372,703.8
373,203.0
374,55.0
375,295.3
376,742.59
377,366.9
378,482.84
379,182.0
380,375.3
381,238.1
382,362.73
383,723.8
384,754.2
385,755.4
386,378.1
387,718.47
388,205.1
389,427.1
390,272.9
391,710.8
392,305.0
393,242.9
394,333.2
395,74.1
396,228.0
397,66.99
398,307.21
399,410.0
400,150.5
401,756.16
402,759.2
403,300.09
404,157.4
405,296.0
406,333.9
407,356.8
408,718.5
409,94.0
410,749.2
411,751.7
412,46.3
413,763.5
414,60.9
415,330.0
416,333.4
417,405.99
418,704.0
419,279.3
420,362.16
421,744.9
422,304.9
423,440.9
424,99.3
425,282.6
426,319.0
427,62.3
428,277.4
429,345.6
430,997.91
431,588.1
432,495.0
433,425.0
434,343.4
435,279.8
436,280.9
437,283.9
438,277.81
439,520.0
440,362.21
441,592.9
442,227.1
443,282.2
444,573.9
445,277.9
446,296.4
447,701.1
448,780.09
449,322.9
450,560.0
451,556.5
452,304.5
453,379.51
454,379.54
455,243.0
456,296.3
457,576.8
458,270.6
459,464.3
460,428.0
461,272.4
462,205.3
463,752.51
464,208.0
465,192.9
466,564.1
467,283.0
468,798.0
469,154.2
470,427.31
471,179.0
472,199.1
473,147.3
474,487.0
475,259.9
476,204.1
477,281.9
478,334.0
479,749.1
480,288.0
481,268.2
482,343.8
483,755.63
484,250.6
485,7.5
486,756.9
487,186.9
488,275.4
489,571.41
490,362.35
491,478.7
492,281.0
493,359.0
494,780.5
495,237.6
496,601.0
497,160.4
498,437.9
499,710.1
500,791.0
501,252.01
502,331.82
503,686.8
504,569.83
505,32.9
506,253.3
507,180.0
508,709.09
509,257.2
510,595.0
511,379.39
512,757.33
513,733.99
514,272.1
515,755.59
516,367.1
517,172.0
518,259.8
519,163.0
520,435.8
521,154.3
522,617.0
523,161.9
524,577.0
525,516.31
526,307.51
527,579.9
